accuracy,classification_time,host,method,name,output_dir,test_client_id,training_client_ids,host_label
97.71428571428571,9.718208074569702,www.mayoclinic.org,LL,train_one_test_one,../data/scenarios2/69/train_one_test_one_LL_www.mayoclinic.org_6_6,6,[6],"Mayo
Clinic"
41.714285714285715,99.01438283920288,www.bankofamerica.com,Wfin,train_one_test_one,../data/scenarios2/69/train_one_test_one_Wfin_www.bankofamerica.com_9_17,17,[9],"Bank of
America"
100.0,10.797168016433716,www.bankofamerica.com,PS,train_one_test_one,../data/scenarios2/69/train_one_test_one_PS_www.bankofamerica.com_4_4,4,[4],"Bank of
America"
50.28571428571429,76.69542503356934,www.wellsfargo.com,CUMUL,train_one_test_one,../data/scenarios2/69/train_one_test_one_CUMUL_www.wellsfargo.com_13_13,13,[13],"Wells
Fargo"
8.285714285714285,15.580510377883911,www.plannedparenthood.org,IPS,train_one_test_one,../data/scenarios2/69/train_one_test_one_IPS_www.plannedparenthood.org_6_2,2,[6],"Planned
Parenthood"
100.0,10.482191801071167,www.bankofamerica.com,PS,train_one_test_one,../data/scenarios2/69/train_one_test_one_PS_www.bankofamerica.com_19_19,19,[19],"Bank of
America"
38.57142857142858,17.728403091430664,www.bankofamerica.com,IPS,train_one_test_one,../data/scenarios2/69/train_one_test_one_IPS_www.bankofamerica.com_6_10,10,[6],"Bank of
America"
3.428571428571429,94.61037993431091,www.legalzoom.com,CUMUL,train_one_test_one,../data/scenarios2/69/train_one_test_one_CUMUL_www.legalzoom.com_14_18,18,[14],"Legal
Zoom"
4.571428571428571,87.43326663970947,www.legalzoom.com,CUMUL,train_one_test_one,../data/scenarios2/69/train_one_test_one_CUMUL_www.legalzoom.com_9_13,13,[9],"Legal
Zoom"
4.0,12.281649589538574,www.bankofamerica.com,OPS,train_one_test_one,../data/scenarios2/69/train_one_test_one_OPS_www.bankofamerica.com_14_2,2,[14],"Bank of
America"
24.2857,158.4612991809845,www.mayoclinic.org,BoG,train_one_test_one,../data/scenarios2/69/train_one_test_one_BoG_www.mayoclinic.org_8_12,12,[8],"Mayo
Clinic"
3.7142857142857144,17.235289573669434,www.mayoclinic.org,PS,train_one_test_one,../data/scenarios2/69/train_one_test_one_PS_www.mayoclinic.org_4_12,12,[4],"Mayo
Clinic"
18.571428571428573,77.89670252799988,investor.vanguard.com,Wfin,train_one_test_one,../data/scenarios2/69/train_one_test_one_Wfin_investor.vanguard.com_18_14,14,[18],Vanguard
100.0,13.684849977493286,www.plannedparenthood.org,OPS,train_one_test_one,../data/scenarios2/69/train_one_test_one_OPS_www.plannedparenthood.org_13_13,13,[13],"Planned
Parenthood"
1.1428571428571428,6.437195062637329,www.wellsfargo.com,LL,train_one_test_one,../data/scenarios2/69/train_one_test_one_LL_www.wellsfargo.com_14_6,6,[14],"Wells
Fargo"
